,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5
1,0,NaN,NaN,0,NaN,NaN
2,0,NaN,NaN,NaN,NaN,NaN
3,0,NaN,NaN,6.266009484,5.937916574,5.423600629
4,0,NaN,0,6.591061647,5.968965042,4.440707405
5,0,NaN,0,6.99107515,5.822699303,5.473742299
6,0,NaN,NaN,NaN,NaN,NaN
7,0,NaN,NaN,6.46391665,5.939814581,5.99807221
8,0,NaN,NaN,5.88117209,5.039373809,4.012203892
